name,location,latitude,longitude
Qissa Khawani,Church Street,,
Ayda Persian Kitchen,Church Street,,
Vinny's,Brigade Road,,
Carnival de Goa,Ulsoor,12.9750047,77.6200027
The Open Box,St. Marks Road,,
Double Decker,Brigade Road,,
Toscano,Lavelle Road,,
NoLimmits Lounge and Club,Brigade Road,,
20 Feet High,Church Street,,
Bean Flickers,Indiranagar,,
Kobe Sizzlers,Brigade Road,,
Airlines Hotel,Lavelle Road,,
Cafe Terra,Indiranagar,12.979878,77.6393583
Zaks Mediterranean Cuisine,Frazer Town,,
Le Rock,Brigade Road,,
Hotel Chandrika,Cunningham Road,12.9894774,77.5928821
The Bundle Co.,Mg Road,,
The Grill House,Ulsoor,12.9749935,77.6199471
Nossa Goa,Richmond Road,,
Gokul Kuteera,Indiranagar,12.978429,77.635725
Baba Da Dhaba,Brigade Road,,
Ging - Royal Orchid Central,Mg Road,,
Ta'aam,Cunningham Road,,
OCEA HOTEL,Brigade Road,12.9698386,77.6066965
Vietnamese Kitchen,Indiranagar,,
Chutney Chang,Church Street,,
Aagaman Veg,Indiranagar,,
Salt Mango Tree,Indiranagar,12.9704038,77.6399131
MISU,St. Marks Road,,
RockSalt,St. Marks Road,,
The Rice Bowl,Lavelle Road,,
Shezan,Cunningham Road,12.9871688,77.5946714
Oye Amritsar,Church Street,,
Tandoor,Mg Road,12.9736722,77.6131796
The Biere Club,Lavelle Road,,
Bangalore Mandarin,Indiranagar,,
Mahesh Lunch Home,Residency Road,,
Bheema's,Church Street,12.9751858,77.6035875
Chung Wah,Residency Road,13.0511739,77.6213725
The Charcoal Factory,Koramangala 6Th Block,,
Fat Buddha,Cunningham Road,12.9899243,77.5913426
Teppan Japanese Grill & Sushi Bar,Ulsoor,,
The Only Place,Church Street,,
Anupam's Coast II Coast,Church Street,,
BabaYaga's,Indiranagar,,
Ramana's,Cunningham Road,12.9887039,77.5939333
The Konkan - Seafood Restaurant,St. Marks Road,,
Hotel Tom's Restaurant,Richmond Road,,
Raaga,Indiranagar,12.9781459,77.6364882
The Humming Tree,Indiranagar,12.9713172,77.6410321
Woodstok,Indiranagar,,
ASEAN - On The Edge,Mg Road,12.9754648,77.6050615
Kick Out the Jams,Ejipura,,
Benjarong,Ulsoor,,
Ente Keralam,Ulsoor,,
Nagarjuna,Residency Road,12.97323,77.609195
Sunny's,Lavelle Road,,
Nandhini Paradise,St. Marks Road,,
Manjit Da Dhaba,Frazer Town,,
Kadai Crust - Amma Veetu Samayal,Indiranagar,,
Fava,Lavelle Road,,
Bootlegger,Lavelle Road,,
ThrowBack - Pub & Dine,Langford Town,,
Hyderabad Biryaani House,Richmond Road,,
The Bangalore Cafe,Shanti Nagar,,
Sakae Japanese Restaurant,Shanti Nagar,,
Green Onion,Residency Road,,
Art of Delight,Residency Road,12.9733146,77.6092125
Khazana Food Paradise,Richmond Road,,
Pashto,Residency Road,,
Somilan Steak House,Church Street,,
Stir Fry,Residency Road,,
Natural Ice Cream,St. Marks Road,,
Indy's Comfort Food,Shivajinagar,,
Siddique Kabab Centre,Frazer Town,,
Alchemy - The Chancery Pavilion,Residency Road,,
Fabelle Chocolate Boutique - ITC Gardenia,Richmond Road,,
